Time,Total Occupancy rate (percent),Hotels Occupancy rate (percent),Motels Occupancy rate (percent),Backpackers Occupancy rate (percent),Holiday Parks Occupancy rate (percent),Previous Total Occupancy,Diff in Occupancy from yesterday
1999M01,43.7,49.0,58.1,55.6,32.5,,
1999M02,41.0,64.0,63.8,59.3,16.3,43.7,-2.700000000000003
1999M03,36.5,58.1,60.1,53.8,12.2,41.0,-4.5
1999M04,32.8,51.2,53.9,45.8,12.1,36.5,-3.700000000000003
1999M05,24.5,42.7,39.4,32.5,6.1,32.8,-8.299999999999997
1999M06,24.1,39.6,41.9,31.5,6.0,24.5,-0.3999999999999986
1999M07,26.0,45.3,43.8,33.1,6.0,24.1,1.8999999999999986
1999M08,26.2,46.7,42.3,33.7,5.9,26.0,0.1999999999999993
1999M09,30.7,52.0,50.6,36.9,8.9,26.2,4.5
1999M10,29.9,51.1,49.4,38.6,9.3,30.7,-0.8000000000000007
1999M11,35.2,62.6,55.9,51.3,9.7,29.9,5.300000000000004
1999M12,33.8,46.9,47.1,52.5,17.6,35.2,-1.4000000000000057
2000M01,44.1,50.0,58.9,59.8,31.3,33.8,10.300000000000004
2000M02,41.8,66.9,65.5,59.8,15.7,44.1,-2.3000000000000043
2000M03,36.9,58.2,59.8,54.6,12.8,41.8,-4.899999999999999
2000M04,34.3,52.2,56.3,48.8,12.8,36.9,-2.6000000000000014
2000M05,25.1,43.9,40.2,34.7,5.9,34.3,-9.199999999999996
2000M06,23.5,40.4,39.3,31.3,5.4,25.1,-1.6000000000000014
2000M07,26.9,46.1,45.1,35.0,5.9,23.5,3.3999999999999986
2000M08,26.9,48.4,43.4,34.5,5.6,26.9,0.0
2000M09,28.3,46.9,47.1,34.6,7.8,26.9,1.4000000000000021
2000M10,31.5,53.3,50.5,37.1,9.8,28.3,3.1999999999999993
2000M11,36.5,65.7,56.3,48.0,10.4,31.5,5.0
2000M12,37.5,51.8,51.1,54.0,20.1,36.5,1.0
2001M01,47.7,58.1,63.8,59.3,32.5,37.5,10.200000000000003
2001M02,44.8,69.7,68.3,61.6,17.9,47.7,-2.9000000000000057
2001M03,40.8,66.1,64.4,55.5,14.1,44.8,-4.0
2001M04,34.6,53.1,54.9,49.1,12.3,40.8,-6.199999999999996
2001M05,27.1,47.0,42.2,36.3,6.4,34.6,-7.5
2001M06,25.3,42.2,42.0,32.1,5.9,27.1,-1.8000000000000007
2001M07,28.9,48.1,47.9,37.1,6.3,25.3,3.599999999999998
2001M08,29.2,51.3,45.5,36.6,6.5,28.9,0.3000000000000007
2001M09,30.5,50.6,49.6,37.7,8.1,29.2,1.3000000000000007
2001M10,32.8,53.7,52.3,40.9,10.1,30.5,2.299999999999997
2001M11,36.2,61.1,55.7,50.5,11.0,32.8,3.4000000000000057
2001M12,37.8,51.8,52.4,50.9,20.4,36.2,1.5999999999999943
2002M01,48.1,57.8,64.3,61.4,32.2,37.8,10.300000000000004
2002M02,46.6,70.9,69.5,64.6,19.0,48.1,-1.5
2002M03,45.1,68.9,68.6,61.7,17.6,46.6,-1.5
2002M04,36.5,56.1,55.2,51.5,12.1,45.1,-8.600000000000001
2002M05,28.7,47.7,43.6,39.3,7.6,36.5,-7.800000000000001
2002M06,26.7,44.0,43.0,35.4,6.4,28.7,-2.0
2002M07,30.6,50.8,49.3,39.0,6.8,26.7,3.900000000000002
2002M08,29.8,51.1,46.5,37.6,6.7,30.6,-0.8000000000000007
2002M09,31.7,51.4,50.8,40.1,8.3,29.8,1.8999999999999986
2002M10,35.0,58.9,53.9,42.1,9.9,31.7,3.3000000000000007
2002M11,39.9,67.8,59.9,53.8,11.2,35.0,4.899999999999999
2002M12,40.3,54.9,53.8,56.8,21.2,39.9,0.3999999999999986
2003M01,48.8,58.9,64.1,62.4,32.2,40.3,8.5
2003M02,48.8,72.1,71.2,64.2,21.3,48.8,0.0
2003M03,44.0,66.1,65.9,60.3,16.6,48.8,-4.799999999999997
2003M04,39.6,54.1,59.4,56.4,15.7,44.0,-4.399999999999999
2003M05,29.4,44.4,45.3,41.3,8.2,39.6,-10.200000000000003
2003M06,26.6,41.4,41.6,37.1,6.3,29.4,-2.799999999999997
2003M07,31.3,49.1,50.0,41.5,7.3,26.6,4.699999999999999
2003M08,29.9,49.6,46.8,37.0,6.7,31.3,-1.4000000000000021
2003M09,32.8,52.7,52.5,40.2,8.3,29.9,2.8999999999999986
2003M10,35.2,56.1,53.8,44.1,10.2,32.8,2.4000000000000057
2003M11,40.0,67.6,59.6,53.8,11.5,35.2,4.799999999999997
2003M12,42.1,56.6,56.6,57.1,22.6,40.0,2.1000000000000014
2004M01,50.4,61.0,66.3,62.1,33.6,42.1,8.299999999999997
2004M02,48.9,71.6,71.7,63.6,20.6,50.4,-1.5
2004M03,45.3,69.4,68.7,58.7,16.5,48.9,-3.6000000000000014
2004M04,39.5,58.5,60.3,54.0,14.0,45.3,-5.799999999999997
2004M05,30.1,49.9,45.0,38.3,7.7,39.5,-9.399999999999999
2004M06,29.0,46.5,45.0,37.3,7.2,30.1,-1.1000000000000014
2004M07,32.5,53.1,51.0,40.5,7.8,29.0,3.5
2004M08,30.8,52.3,46.9,36.6,7.1,32.5,-1.6999999999999993
2004M09,32.9,54.9,52.7,38.3,8.9,30.8,2.099999999999998
2004M10,34.2,58.8,52.8,38.8,10.0,32.9,1.3000000000000043
2004M11,41.0,68.1,61.1,49.2,13.0,34.2,6.799999999999997
2004M12,40.8,55.8,55.8,50.9,21.6,41.0,-0.20000000000000284
2005M01,50.9,59.6,67.2,61.0,34.3,40.8,10.100000000000001
2005M02,49.7,73.9,73.4,61.3,20.4,50.9,-1.1999999999999957
2005M03,46.4,66.7,69.4,56.8,19.5,49.7,-3.3000000000000043
2005M04,38.1,57.4,58.6,47.0,13.3,46.4,-8.299999999999997
2005M05,29.0,47.2,43.4,35.3,7.3,38.1,-9.100000000000001
2005M06,29.6,46.5,45.4,36.6,7.3,29.0,0.6000000000000014
2005M07,31.6,50.1,49.6,36.5,7.8,29.6,2.0
2005M08,29.7,48.4,46.0,33.3,7.0,31.6,-1.9000000000000021
2005M09,32.1,52.2,50.1,33.1,9.2,29.7,2.400000000000002
2005M10,33.3,53.9,52.8,35.0,10.6,32.1,1.1999999999999957
2005M11,39.1,64.1,57.9,44.6,12.6,33.3,5.800000000000004
2005M12,38.8,51.5,52.4,49.7,19.9,39.1,-0.30000000000000426
2006M01,48.8,55.4,64.6,57.4,33.3,38.8,10.0
2006M02,48.7,71.2,71.3,59.1,20.2,48.8,-0.09999999999999432
2006M03,44.1,64.8,67.0,54.9,16.0,48.7,-4.600000000000001
2006M04,37.7,53.5,56.8,47.8,14.5,44.1,-6.399999999999999
2006M05,29.2,47.1,43.4,33.5,7.9,37.7,-8.500000000000004
2006M06,27.6,44.5,42.7,32.0,6.6,29.2,-1.5999999999999979
2006M07,30.7,47.8,47.6,35.9,7.8,27.6,3.099999999999998
2006M08,30.7,50.1,46.6,34.5,7.5,30.7,0.0
2006M09,32.9,52.3,50.3,34.9,9.7,30.7,2.1999999999999993
2006M10,34.8,55.5,52.7,37.5,11.4,32.9,1.8999999999999986
2006M11,41.0,65.7,58.8,47.6,13.3,34.8,6.200000000000003
2006M12,40.4,52.8,53.3,49.7,21.8,41.0,-0.6000000000000014
2007M01,51.1,58.8,64.9,58.9,35.7,40.4,10.700000000000003
2007M02,51.6,72.2,72.1,60.9,23.8,51.1,0.5
2007M03,46.9,67.3,67.9,57.2,18.2,51.6,-4.700000000000003
2007M04,38.5,53.0,55.1,49.1,15.6,46.9,-8.399999999999999
2007M05,30.8,47.4,44.2,35.5,9.3,38.5,-7.699999999999999
2007M06,28.8,44.0,42.2,35.2,7.4,30.8,-2.0
2007M07,31.7,48.2,46.4,38.6,8.1,28.8,2.8999999999999986
2007M08,31.4,49.2,46.9,35.5,8.0,31.7,-0.3000000000000007
2007M09,33.4,50.3,49.5,37.3,10.6,31.4,2.0
2007M10,33.7,53.3,51.1,35.7,11.0,33.4,0.30000000000000426
2007M11,40.5,65.1,57.6,47.0,13.1,33.7,6.799999999999997
2007M12,40.1,50.7,51.6,48.4,23.5,40.5,-0.3999999999999986
2008M01,50.8,59.2,62.6,56.4,36.7,40.1,10.699999999999996
2008M02,50.8,72.0,69.8,58.1,23.6,50.8,0.0
2008M03,47.6,66.1,65.6,57.5,21.4,50.8,-3.1999999999999957
2008M04,38.3,56.9,54.6,46.8,13.3,47.6,-9.300000000000004
2008M05,30.8,48.8,42.7,37.0,8.4,38.3,-7.4999999999999964
2008M06,27.5,42.9,38.2,35.2,6.6,30.8,-3.3000000000000007
2008M07,31.3,49.3,44.3,37.4,7.8,27.5,3.8000000000000007
2008M08,30.5,50.8,42.2,33.8,7.6,31.3,-0.8000000000000007
2008M09,32.1,51.2,45.8,33.3,10.3,30.5,1.6000000000000014
2008M10,34.4,54.7,49.7,36.2,12.2,32.1,2.299999999999997
2008M11,38.2,62.0,52.0,43.1,13.0,34.4,3.8000000000000043
2008M12,38.4,50.4,47.7,46.2,21.8,38.2,0.19999999999999574
2009M01,48.3,54.5,57.9,54.7,35.9,38.4,9.899999999999999
2009M02,48.2,67.8,63.6,57.1,23.2,48.3,-0.09999999999999432
2009M03,43.6,63.7,59.0,54.6,17.0,48.2,-4.600000000000001
2009M04,37.8,53.0,50.1,48.1,16.1,43.6,-5.800000000000004
2009M05,30.0,46.3,40.4,37.3,9.0,37.8,-7.799999999999997
2009M06,25.4,41.4,34.7,31.1,5.8,30.0,-4.600000000000001
2009M07,30.4,50.1,42.0,35.8,7.1,25.4,5.0
2009M08,29.1,48.9,40.6,31.8,7.3,30.4,-1.2999999999999972
2009M09,31.6,50.7,43.8,33.5,10.1,29.1,2.5
2009M10,33.4,54.0,46.9,36.1,11.4,31.6,1.7999999999999972
2009M11,37.8,60.2,50.2,44.5,13.2,33.4,4.399999999999999
2009M12,39.6,52.6,47.1,48.1,23.1,37.8,1.8000000000000043
2010M01,49.5,57.4,57.5,56.3,36.6,39.6,9.899999999999999
2010M02,48.5,70.0,63.9,57.1,22.3,49.5,-1.0
2010M03,43.7,65.5,59.4,52.5,17.0,48.5,-4.799999999999997
2010M04,37.3,55.4,49.9,44.2,15.4,43.7,-6.400000000000006
2010M05,28.1,46.9,37.5,32.6,7.6,37.3,-9.199999999999996
2010M06,26.9,44.3,36.7,31.6,6.5,28.1,-1.2000000000000028
2010M07,30.5,50.9,41.4,34.9,7.3,26.9,3.6000000000000014
2010M08,29.1,50.8,39.5,30.4,6.9,30.5,-1.3999999999999986
2010M09,31.6,53.5,44.3,31.4,9.2,29.1,2.5
2010M10,33.4,56.1,45.9,34.8,11.4,31.6,1.7999999999999972
2010M11,38.9,64.2,50.8,45.3,13.0,33.4,5.5
2010M12,39.0,54.1,46.3,46.5,21.6,38.9,0.10000000000000142
2011M01,48.9,59.4,56.7,55.2,35.2,39.0,9.899999999999999
2011M02,47.8,69.4,64.4,55.8,21.5,48.9,-1.1000000000000014
2011M03,42.6,63.4,60.5,51.3,17.1,47.8,-5.199999999999996
2011M04,37.7,56.2,52.9,46.7,14.9,42.6,-4.899999999999999
2011M05,29.6,49.9,41.4,32.7,8.8,37.7,-8.100000000000001
2011M06,27.6,46.4,40.5,30.5,7.6,29.6,-2.0
2011M07,31.8,53.7,45.6,36.0,8.3,27.6,4.199999999999999
2011M08,32.1,56.0,46.9,34.3,7.8,31.8,0.3000000000000007
2011M09,32.1,52.2,46.6,36.7,10.4,32.1,0.0
2011M10,34.0,54.1,49.4,38.5,11.7,32.1,1.8999999999999986
2011M11,39.1,62.9,56.1,43.9,13.6,34.0,5.100000000000001
2011M12,39.6,54.6,49.7,45.8,22.4,39.1,0.5
2012M01,48.0,57.3,58.9,53.2,34.2,39.6,8.399999999999999
2012M02,46.5,66.1,63.8,55.4,21.6,48.0,-1.5
2012M03,42.2,64.8,59.6,50.5,15.7,46.5,-4.299999999999997
2012M04,36.3,54.4,50.5,44.0,14.5,42.2,-5.900000000000006
2012M05,29.0,49.2,41.6,30.6,8.4,36.3,-7.299999999999997
2012M06,27.7,48.0,40.6,27.9,7.3,29.0,-1.3000000000000007
2012M07,29.9,50.8,44.1,30.4,7.8,27.7,2.1999999999999993
2012M08,29.3,53.5,42.2,27.5,7.2,29.9,-0.5999999999999979
2012M09,31.2,52.3,45.7,30.3,9.6,29.3,1.8999999999999986
2012M10,34.5,56.5,50.5,34.7,12.0,31.2,3.3000000000000007
